N9: [0.8226896144000001, 0.1773103856]
N14: [0.878437222624, 0.121562777376]
N10: [0.845529638048, 0.154470361952]
N13: [0.9009269321215999, 0.09907306787839999]
N5: [0.88299968, 0.11700031999999996]
N6: [0.8885198592000001, 0.11148014080000002]
N1: [0.98, 0.019999999999999997]
N8: [0.888756728, 0.111243272]
N7: [0.8639038400000001, 0.13609616]
N12: [0.8909487380479999, 0.10905126195199999]
N3: [0.8952199999999999, 0.10477999999999997]
N4: [0.846288, 0.153712]
N2: [0.941, 0.059000000000000004]
N11: [0.8248298349431414, 0.17517016505685865]
